document_id,clean_text,sentiment
1,An emotional rollercoaster that left me in tears. Highly recommend to everyone.,positive
2,The cinematography was award-worthy. Denis Villeneuve has outdone himself again.,neutral
3,"Overrated. Too much style, not enough substance. The story lacks depth.",negative
4,Disappointing sequel. The plot was confusing and the pacing was too slow for my taste.,negative
5,An emotional rollercoaster that left me in tears. Highly recommend to everyone.,positive
6,Disappointing sequel. The plot was confusing and the pacing was too slow for my taste.,negative
7,This movie was absolutely stunning! The visuals were breathtaking and the story kept me engaged throughout.,positive
8,Watched it twice already and noticed so many details I missed the first time!,neutral
9,I was bored for the first hour but the third act completely redeemed the film.,neutral
10,The soundtrack alone is worth the price of admission. Hans Zimmer is a genius.,neutral
11,Disappointing sequel. The plot was confusing and the pacing was too slow for my taste.,negative
12,Watched it twice already and noticed so many details I missed the first time!,neutral
13,"Overrated. Too much style, not enough substance. The story lacks depth.",negative
14,The soundtrack alone is worth the price of admission. Hans Zimmer is a genius.,neutral
15,An emotional rollercoaster that left me in tears. Highly recommend to everyone.,positive
16,An emotional rollercoaster that left me in tears. Highly recommend to everyone.,positive
17,The cinematography was award-worthy. Denis Villeneuve has outdone himself again.,neutral
18,This movie was absolutely stunning! The visuals were breathtaking and the story kept me engaged throughout.,positive
19,An emotional rollercoaster that left me in tears. Highly recommend to everyone.,positive
20,The soundtrack alone is worth the price of admission. Hans Zimmer is a genius.,neutral
21,A masterpiece of modern cinema. Will be remembered for decades to come.,positive
22,Disappointing sequel. The plot was confusing and the pacing was too slow for my taste.,negative
23,"Overrated. Too much style, not enough substance. The story lacks depth.",negative
24,This movie was absolutely stunning! The visuals were breathtaking and the story kept me engaged throughout.,positive
25,Watched it twice already and noticed so many details I missed the first time!,neutral
26,"Overrated. Too much style, not enough substance. The story lacks depth.",negative
27,The soundtrack alone is worth the price of admission. Hans Zimmer is a genius.,neutral
28,The cinematography was award-worthy. Denis Villeneuve has outdone himself again.,neutral
29,This movie was absolutely stunning! The visuals were breathtaking and the story kept me engaged throughout.,positive
30,Watched it twice already and noticed so many details I missed the first time!,neutral
31,I was bored for the first hour but the third act completely redeemed the film.,neutral
32,One of the best films I've seen in 2024. Great performances from the entire cast.,positive
33,This movie was absolutely stunning! The visuals were breathtaking and the story kept me engaged throughout.,positive
34,"Overrated. Too much style, not enough substance. The story lacks depth.",negative
35,An emotional rollercoaster that left me in tears. Highly recommend to everyone.,positive
36,The soundtrack alone is worth the price of admission. Hans Zimmer is a genius.,neutral
37,The cinematography was award-worthy. Denis Villeneuve has outdone himself again.,neutral
38,I was bored for the first hour but the third act completely redeemed the film.,neutral
39,Watched it twice already and noticed so many details I missed the first time!,neutral
40,I was bored for the first hour but the third act completely redeemed the film.,neutral
41,A masterpiece of modern cinema. Will be remembered for decades to come.,positive
42,This movie was absolutely stunning! The visuals were breathtaking and the story kept me engaged throughout.,positive
43,"Overrated. Too much style, not enough substance. The story lacks depth.",negative
44,I was bored for the first hour but the third act completely redeemed the film.,neutral
45,This movie was absolutely stunning! The visuals were breathtaking and the story kept me engaged throughout.,positive
46,I was bored for the first hour but the third act completely redeemed the film.,neutral
47,I was bored for the first hour but the third act completely redeemed the film.,neutral
48,This movie was absolutely stunning! The visuals were breathtaking and the story kept me engaged throughout.,positive
49,Watched it twice already and noticed so many details I missed the first time!,neutral
50,I was bored for the first hour but the third act completely redeemed the film.,neutral
51,Watched it twice already and noticed so many details I missed the first time!,neutral
52,This movie was absolutely stunning! The visuals were breathtaking and the story kept me engaged throughout.,positive
53,"Overrated. Too much style, not enough substance. The story lacks depth.",negative
54,The cinematography was award-worthy. Denis Villeneuve has outdone himself again.,neutral
55,The cinematography was award-worthy. Denis Villeneuve has outdone himself again.,neutral
56,The cinematography was award-worthy. Denis Villeneuve has outdone himself again.,neutral
57,A masterpiece of modern cinema. Will be remembered for decades to come.,positive
58,Disappointing sequel. The plot was confusing and the pacing was too slow for my taste.,negative
59,The cinematography was award-worthy. Denis Villeneuve has outdone himself again.,neutral
60,I was bored for the first hour but the third act completely redeemed the film.,neutral
61,"Overrated. Too much style, not enough substance. The story lacks depth.",negative
62,The cinematography was award-worthy. Denis Villeneuve has outdone himself again.,neutral
63,An emotional rollercoaster that left me in tears. Highly recommend to everyone.,positive
64,The soundtrack alone is worth the price of admission. Hans Zimmer is a genius.,neutral
65,One of the best films I've seen in 2024. Great performances from the entire cast.,positive
66,Disappointing sequel. The plot was confusing and the pacing was too slow for my taste.,negative
67,"Overrated. Too much style, not enough substance. The story lacks depth.",negative
68,An emotional rollercoaster that left me in tears. Highly recommend to everyone.,positive
69,One of the best films I've seen in 2024. Great performances from the entire cast.,positive
70,"Overrated. Too much style, not enough substance. The story lacks depth.",negative
71,Watched it twice already and noticed so many details I missed the first time!,neutral
72,One of the best films I've seen in 2024. Great performances from the entire cast.,positive
73,An emotional rollercoaster that left me in tears. Highly recommend to everyone.,positive
74,This movie was absolutely stunning! The visuals were breathtaking and the story kept me engaged throughout.,positive
75,This movie was absolutely stunning! The visuals were breathtaking and the story kept me engaged throughout.,positive
76,The soundtrack alone is worth the price of admission. Hans Zimmer is a genius.,neutral
77,I was bored for the first hour but the third act completely redeemed the film.,neutral
78,"Overrated. Too much style, not enough substance. The story lacks depth.",negative
79,"Overrated. Too much style, not enough substance. The story lacks depth.",negative
80,I was bored for the first hour but the third act completely redeemed the film.,neutral
81,An emotional rollercoaster that left me in tears. Highly recommend to everyone.,positive
82,"Overrated. Too much style, not enough substance. The story lacks depth.",negative
83,One of the best films I've seen in 2024. Great performances from the entire cast.,positive
84,Watched it twice already and noticed so many details I missed the first time!,neutral
85,The cinematography was award-worthy. Denis Villeneuve has outdone himself again.,neutral
86,The soundtrack alone is worth the price of admission. Hans Zimmer is a genius.,neutral
87,"Overrated. Too much style, not enough substance. The story lacks depth.",negative
88,"Overrated. Too much style, not enough substance. The story lacks depth.",negative
89,The soundtrack alone is worth the price of admission. Hans Zimmer is a genius.,neutral
90,This movie was absolutely stunning! The visuals were breathtaking and the story kept me engaged throughout.,positive
91,A masterpiece of modern cinema. Will be remembered for decades to come.,positive
92,Watched it twice already and noticed so many details I missed the first time!,neutral
93,One of the best films I've seen in 2024. Great performances from the entire cast.,positive
94,"Overrated. Too much style, not enough substance. The story lacks depth.",negative
95,An emotional rollercoaster that left me in tears. Highly recommend to everyone.,positive
96,The soundtrack alone is worth the price of admission. Hans Zimmer is a genius.,neutral
97,A masterpiece of modern cinema. Will be remembered for decades to come.,positive
98,Disappointing sequel. The plot was confusing and the pacing was too slow for my taste.,negative
99,The cinematography was award-worthy. Denis Villeneuve has outdone himself again.,neutral
100,Disappointing sequel. The plot was confusing and the pacing was too slow for my taste.,negative
